Test Name,Section #,Section Name,Test ID,Function Block,Test Type,Category,Method,IUT,Test Purpose / Requirement,Initial Conditions,Test Steps,Example Test Input,Example Test Output,Success Criteria,Warning Criteria,Failure Criteria,Result,Comments,Include Test (tb deleted),DMD Test,CMD Test,,New IDs
ReadingType consumptionTier,REQ.21.4,,D057,FB_99,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType] 
TEST:atom:content/espi:ReadingType/espi:consumptionTier",1hrLP_32Days.xml,0 = Not Applicable,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:consumptionTier,,,,X,,,
ReadingType currency,REQ.21.4,,D058,FB_12,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType] 
TEST:atom:content/espi:ReadingType/espi:currency",1hrLP_32Days.xml,840 = US Dollar,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:currency,,,X,X,,,
ReadingType dataQualifier,REQ.21.4,,D059,FB_99,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType] 
TEST:atom:content/espi:ReadingType/espi:dataQualifier",1hrLP_32Days.xml,0 = Not Applicable,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:dataQualifier,,,,X,,,
ReadingType defaultQuality,REQ.21.4,,D060,FB_99,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType] 
TEST:atom:content/espi:ReadingType/espi:defaultQuality",1hrLP_32Days.xml,0 - valid,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:defaultQuality,,,,X,,,
ReadingType intervalLength,REQ.21.4,,D062,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType] 
TEST:atom:content/espi:ReadingType/espi:intervalLength",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:intervalLength,,,X,X,,,
ReadingType kind,REQ.21.4,,D063,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType] 
TEST:atom:content/espi:ReadingType/espi:kind",1hrLP_32Days.xml,12 = Energy,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:kind,,,X,X,,,
ReadingType phase,REQ.21.4,,D064,FB_05,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType] 
TEST:atom:content/espi:ReadingType/espi:phase",1hrLP_32Days.xml,0 = Not Applicable,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:phase,,,X,X,,,
ReadingType powerOfTenMultiplier,REQ.21.4,,D065,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType] 
TEST:atom:content/espi:ReadingType/espi:powerOfTenMultiplier",1hrLP_32Days.xml,0 = None,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:powerOfTenMultiplier,,,X,X,,,
ReadingType timeAttribute,REQ.21.4,,D066,FB_99,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType] 
TEST:atom:content/espi:ReadingType/espi:timeAttribute",1hrLP_32Days.xml,7 = 60-minute,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:timeAttribute,,,,X,,,
ReadingType tou,REQ.21.4,,D067,FB_99,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType] 
TEST:atom:content/espi:ReadingType/espi:tou",1hrLP_32Days.xml,0 = N/A,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:tou,,,,X,,,
ReadingType uom,REQ.21.4,,D068,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType] 
TEST:atom:content/espi:ReadingType/espi:uom",1hrLP_32Days.xml,38 = Watts,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:uom,,,X,X,,,
ReadingType published,REQ.21.4,,D069,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType]
TEST:atom:published",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:published,,,X,X,,,
ReadingType updated,REQ.21.4,,D070,FB_04,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ReadingType]
TEST:atom:updated",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:updated,,,X,X,,,
ReadingType,REQ.21.4,,D071,FB_06,Positive,Data Element,Test,Both,verify the presence of W demand readings,,"CONTEXT:/atom:feed
TEST:count(atom:entry[*/espi:ReadingType[espi:accumulationBehaviour=12 and espi:commodity=1 and espi:flowDirection=1 and espi:kind=37 and espi:uom=38]])>0",1hrLP_32Days_Additional2_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:accumulationBehaviour,,,X,X,,,
ReadingType,REQ.21.4,,D072,FB_06,Positive,Data Element,Test,Both,verify the presence of VA demand readings,,"CONTEXT:/atom:feed
TEST:count(atom:entry[*/espi:ReadingType[espi:accumulationBehaviour=12 and espi:commodity=1 and espi:flowDirection=1 and espi:kind=12 and espi:uom=61]])>0",1hrLP_32Days_Additional2_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:accumulationBehaviour,,,X,X,,,
ReadingType,REQ.21.4,,D073,FB_06,Positive,Data Element,Test,Both,verify the presence of VAR demand readings,,"CONTEXT:/atom:feed
TEST:count(atom:entry[*/espi:ReadingType[espi:accumulationBehaviour=12 and espi:commodity=1 and espi:flowDirection=1 and espi:kind=12 and espi:uom=63]])>0",1hrLP_32Days_Additional2_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:accumulationBehaviour,,,X,X,,,
ReadingType,REQ.21.4,,D074,FB_07,Positive,Data Element,Test,Both,verify the presence of Wh net flow readings,,"CONTEXT:/atom:feed
TEST:count(atom:entry[*/espi:ReadingType[espi:accumulationBehaviour=1 and espi:commodity=1 and espi:flowDirection=4 and espi:kind=12 and espi:uom=72]])>0",1hrLP_32Days_Additional2_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:accumulationBehaviour,,,X,X,,,
ReadingType,REQ.21.4,,D075,FB_08,Positive,Data Element,Test,Both,verify the presence of Wh forward readings,,"CONTEXT:/atom:feed
TEST:count(atom:entry[*/espi:ReadingType[espi:accumulationBehaviour=1 and espi:commodity=1 and espi:flowDirection=1 and espi:kind=12 and espi:uom=72]])>0",1hrLP_32Days_Additional2_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:accumulationBehaviour,,,X,X,,,
ReadingType,REQ.21.4,,D076,FB_08,Positive,Data Element,Test,Both,verify the presence of Wh reverse readings,,"CONTEXT:/atom:feed
TEST:count(atom:entry[*/espi:ReadingType[espi:accumulationBehaviour=1 and espi:commodity=1 and espi:flowDirection=19 and espi:kind=12 and espi:uom=72]])>0",1hrLP_32Days_Additional2_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:accumulationBehaviour,,,X,X,,,
ReadingType,REQ.21.4,,D077,FB_09,Positive,Data Element,Test,Both,verify the presence of Wh register readings,,"CONTEXT:/atom:feed
TEST:count(atom:entry[*/espi:ReadingType[espi:accumulationBehaviour=1 and espi:commodity=1 and espi:flowDirection=1 and espi:kind=12 and espi:uom=72]])>0",1hrLP_32Days_Additional2_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:accumulationBehaviour,,,X,X,,,
ReadingType,REQ.21.4,,D078,FB_05,Positive,Data Element,Test,Server,verify the presence of 'Wh integrated over an interval' readings,,"CONTEXT:/atom:feed
TEST:count(atom:entry[*/espi:ReadingType[espi:accumulationBehaviour=4 and espi:commodity=1 and espi:flowDirection=1 and espi:kind=12 and espi:uom=72]])>0",1hrLP_32Days_Additional2_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:accumulationBehaviour,,,X,X,,,
ReadingType,REQ.21.4,,D079,FB_10,Positive,Data Element,Test,Server,verify the presence of gas (therms) readings,,"CONTEXT:/atom:feed
TEST:count(atom:entry[*/espi:ReadingType[espi:accumulationBehaviour=4 and espi:commodity=7 and espi:flowDirection=1 and espi:kind=12 and espi:uom=169]])>0",1hrLP_32Days_Additional2_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:accumulationBehaviour,,,X,X,,,
ReadingType,REQ.21.4,,D080,FB_11,Positive,Data Element,Test,Server,verify the presence of water (USG) readings,,"CONTEXT:/atom:feed
TEST:count(atom:entry[*/espi:ReadingType[espi:accumulationBehaviour=4 and espi:commodity=9 and espi:flowDirection=1 and espi:kind=12 and espi:uom=128]])>0",water.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ReadingType]/atom:content/espi:ReadingType/espi:accumulationBehaviour,,,X,X,,,
ElectricPowerUsageSummary overallConsumptionLastPeriod,REQ.21.4,,D081,FB_15,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:overallConsumptionLastPeriod",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:overallConsumptionLastPeriod,,,X,X,,,
ElectricPowerUsageSummary id,REQ.21.4,,D082,FB_15,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerUsageSummary | */espi:UsageSummary]
TEST:atom:id",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:id,,,X,X,,,
ElectricPowerUsageSummary,REQ.21.4,,D083,FB_15,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed
TEST:atom:entry[*/espi:ElectricPowerUsageSummary | */espi:UsageSummary] ",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary],,,X,X,,,
ElectricPowerUsageSummary title,REQ.21.4,,D084,FB_15,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerUsageSummary | */espi:UsageSummary]
TEST:atom:title",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:title,,,X,X,,,
ElectricPowerUsageSummary self link,REQ.21.4,,D085,FB_15,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerUsageSummary | */espi:UsageSummary]
TEST:atom:link[@rel='self']/@href",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:link[@rel='self'],,,X,X,,,
ElectricPowerUsageSummary self link,REQ.21.4,,D086,FB_15,Positive,Data Element,Test,Both,verify that link is unique,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerUsageSummary | */espi:UsageSummary]
TEST:count(/atom:feed/atom:entry[*/espi:ElectricPowerUsageSummary | */espi:UsageSummary]/atom:link[@rel='self' and @href=current()/atom:link[@rel='self']/@href])=1",1hrLP_32Days.xml,,,,Duplicate:espi:ElectricPowerUsageSummary[1],,,X,X,,,
ElectricPowerUsageSummary up link,REQ.21.4,,D087,FB_15,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerUsageSummary | */espi:UsageSummary]
TEST:atom:link[@rel='up']/@href",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:link[@rel='up'],,,X,X,,,
ElectricPowerUsageSummary up link,REQ.21.4,,D088,FB_15,Positive,Data Element,Test,Both,verify that each ElectricPowerUsageSummary points to a single UsagePoint,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerUsageSummary | */espi:UsageSummary]
TEST:count(/atom:feed/atom:entry[*/espi:UsagePoint]/atom:link[@rel='related' and @href=current()/atom:link[@rel='up']/@href])=1",1hrLP_32Days.xml,,,,Duplicate:espi:UsagePoint[1],,,X,X,,,
ElectricPowerUsageSummary billingPeriod duration,REQ.21.4,,D089,FB_15,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:billingPeriod/espi:duration",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:billingPeriod/espi:duration,,,X,X,,,
ElectricPowerUsageSummary billingPeriod start,REQ.21.4,,D090,FB_15,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:billingPeriod/espi:start",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:billingPeriod/espi:start,,,X,X,,,
ElectricPowerUsageSummary billLastPeriod,REQ.21.4,,D091,FB_16,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:billLastPeriod",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:billLastPeriod,,,X,X,,,
ElectricPowerUsageSummary billToDate,REQ.21.4,,D092,FB_28,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:billToDate",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:billToDate,,,X,X,,,
ElectricPowerUsageSummary costAdditionalLastPeriod,REQ.21.4,,D093,FB_16,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:costAdditionalLastPeriod",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:costAdditionalLastPeriod,,,X,X,,,
ElectricPowerUsageSummary currency,REQ.21.4,,D094,FB_16,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:currency",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:currency,,,X,X,,,
ElectricPowerUsageSummary currentBillingPeriodOverAllConsumption powerOfTenMultiplier,REQ.21.4,,D095,FB_15,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:UsageSummary | espi:ElectricPowerUsageSummary]/child::*/espi:currentBillingPeriodOverAllConsumption
TEST:espi:powerOfTenMultiplier",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:currentBillingPeriodOverAllConsumption/espi:powerOfTenMultiplier,,,X,X,,,
ElectricPowerUsageSummary currentBillingPeriodOverAllConsumption timeStamp,REQ.21.4,,D096,FB_15,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:UsageSummary | espi:ElectricPowerUsageSummary]/child::*/espi:currentBillingPeriodOverAllConsumption
TEST:espi:timeStamp",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:currentBillingPeriodOverAllConsumption/espi:timeStamp,,,X,X,,,
ElectricPowerUsageSummary currentBillingPeriodOverAllConsumption uom,REQ.21.4,,D097,FB_15,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:UsageSummary | espi:ElectricPowerUsageSummary]/child::*/espi:currentBillingPeriodOverAllConsumption
TEST:espi:uom",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:currentBillingPeriodOverAllConsumption/espi:uom,,,X,X,,,
ElectricPowerUsageSummary currentBillingPeriodOverAllConsumption value,REQ.21.4,,D098,FB_15,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:UsageSummary | espi:ElectricPowerUsageSummary]/child::*/espi:currentBillingPeriodOverAllConsumption
TEST:espi:value",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:currentBillingPeriodOverAllConsumption/espi:value,,,X,X,,,
ElectricPowerUsageSummary qualityOfReading,REQ.21.4,,D099,FB_15,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:qualityOfReading",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:qualityOfReading,,,X,X,,,
ElectricPowerUsageSummary statusTimeStamp,REQ.21.4,,D100,FB_15,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:statusTimeStamp",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:statusTimeStamp,,,X,X,,,
ElectricPowerUsageSummary published,REQ.21.4,,D101,FB_15,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerUsageSummary | */espi:UsageSummary]
TEST:atom:published",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:published,,,X,X,,,
ElectricPowerUsageSummary updated,REQ.21.4,,D102,FB_15,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerUsageSummary | */espi:UsageSummary]
TEST:atom:updated",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:updated,,,X,X,,,
ElectricPowerUsageSummary ratchetDemand,REQ.21.4,,D103,FB_27,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:ratchetDemand",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:ratchetDemand,,,X,X,,,
ElectricPowerUsageSummary ratchetDemandPeriod,REQ.21.4,,D104,FB_27,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:ratchetDemandPeriod",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:ratchetDemandPeriod,,,X,X,,,
ElectricPowerUsageSummary peakDemand ,REQ.21.4,,D105,FB_27,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:peakDemand",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:peakDemand,,,X,X,,,
ElectricPowerUsageSummary currentDayOverallConsumption,REQ.21.4,,D106,FB_27,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:currentDayOverallConsumption/espi:powerOfTenMultiplier",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:currentDayOverallConsumption,,,X,X,,,
ElectricPowerUsageSummary previousDayOverallConsumption,REQ.21.4,,D107,FB_27,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:previousDayOverallConsumption/espi:powerOfTenMultiplier",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:previousDayOverallConsumption,,,X,X,,,
ratchetDemand SummaryMeasurement,REQ.21.4,,D108,FB_27,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:ratchetDemand/espi:powerOfTenMultiplier and espi:ratchetDemand/espi:uom",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:ratchetDemand,,,X,X,,,
ratchetDemandPeriod  DateTimeInterval,REQ.21.4,,D109,FB_27,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:ratchetDemandPeriod/espi:duration and espi:ratchetDemandPeriod/espi:start",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:ratchetDemandPeriod/espi:duration,,,X,X,,,
peakDemand SummaryMeasurement,REQ.21.4,,D110,FB_27,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:peakDemand/espi:powerOfTenMultiplier and espi:peakDemand/espi:uom",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:peakDemand,,,X,X,,,
currentDayOverallConsumption SummaryMeasurement,REQ.21.4,,D111,FB_27,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:currentDayOverallConsumption/espi:powerOfTenMultiplier and espi:currentDayOverallConsumption/espi:uom",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:currentDayOverallConsumption,,,X,X,,,
previousDayOverallConsumptionSummaryMeasurement,REQ.21.4,,D112,FB_27,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry/atom:content[espi:ElectricPowerUsageSummary | espi:UsageSummary]/child::*
TEST:espi:previousDayOverallConsumption/espi:powerOfTenMultiplier and espi:previousDayOverallConsumption/espi:uom",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerUsageSummary]/atom:content/espi:ElectricPowerUsageSummary/espi:previousDayOverallConsumption,,,X,X,,,
ElectricPowerQualitySummary flickerPlt,REQ.21.4,,D113,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary] 
TEST:atom:content/espi:ElectricPowerQualitySummary/espi:flickerPlt",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:content/espi:ElectricPowerQualitySummary/espi:flickerPlt,,,X,X,,,
ElectricPowerQualitySummary flickerPst,REQ.21.4,,D114,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary] 
TEST:atom:content/espi:ElectricPowerQualitySummary/espi:flickerPst",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:content/espi:ElectricPowerQualitySummary/espi:flickerPst,,,X,X,,,
ElectricPowerQualitySummary harmonicVoltage,REQ.21.4,,D115,FB_17,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed/atom:entry[*/espi:ElectricPowerQualitySummary] 
TEST:atom:content/espi:ElectricPowerQualitySummary/espi:harmonicVoltage",1hrLP_32Days_Additional_M.xml,,,,RemoveEntry:atom:feed/atom:entry[atom:content/espi:ElectricPowerQualitySummary]/atom:content/espi:ElectricPowerQualitySummary/espi:harmonicVoltage,,,X,X,,,
